Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,539,9,4.73,0,2220.0926,23.2356,1.2831,1.1131,1387.754,207.5653,228.6903,1.4668,1.6161,1
2,540,9,4.73,0,2220.2994,23.2364,1.2831,1.1131,1387.7323,207.5651,228.6906,1.4668,1.6161,1
2,541,9,4.73,0,2220.5059,23.2372,1.2831,1.1132,1387.7108,207.565,228.6909,1.4668,1.6161,1
2,542,9,4.73,0,2220.7121,23.2379,1.2831,1.1132,1387.6894,207.5648,228.6912,1.4668,1.6161,1
2,543,9,4.73,0,2220.9179,23.2387,1.2831,1.1132,1387.6681,207.5647,228.6915,1.4669,1.6162,1
2,544,9,4.73,0,2221.1234,23.2394,1.2831,1.1132,1387.647,207.5645,228.6917,1.4669,1.6162,1
2,545,9,4.73,0,2221.3285,23.2402,1.2831,1.1132,1387.6259,207.5643,228.692,1.4669,1.6162,1
2,546,9,4.73,0,2221.5333,23.2409,1.283,1.1132,1387.605,207.5642,228.6923,1.4669,1.6162,1
2,547,9,4.73,0,2221.7377,23.2417,1.283,1.1132,1387.5841,207.564,228.6926,1.4669,1.6163,1
2,548,9,4.73,0,2221.9418,23.2424,1.283,1.1132,1387.5634,207.5639,228.6929,1.467,1.6163,1
2,549,9,4.73,0,2222.1456,23.2432,1.283,1.1132,1387.5428,207.5637,228.6931,1.467,1.6163,1
2,550,9,4.73,0,2222.349,23.2439,1.283,1.1132,1387.5223,207.5636,228.6934,1.467,1.6163,1
2,551,9,4.73,0,2222.552,23.2447,1.283,1.1132,1387.5019,207.5634,228.6937,1.467,1.6164,1
2,552,9,4.73,0,2222.7548,23.2454,1.283,1.1132,1387.4817,207.5632,228.694,1.467,1.6164,1
2,553,9,4.73,0,2222.9572,23.2462,1.283,1.1132,1387.4615,207.5631,228.6943,1.4671,1.6164,1
2,554,9,4.73,0,2223.1592,23.2469,1.283,1.1132,1387.4415,207.5629,228.6945,1.4671,1.6164,1
2,555,9,4.73,0,2223.361,23.2476,1.283,1.1132,1387.4215,207.5628,228.6948,1.4671,1.6165,1
2,556,9,4.73,0,2223.5624,23.2484,1.283,1.1132,1387.4017,207.5626,228.6951,1.4671,1.6165,1
2,557,9,4.73,0,2223.7634,23.2491,1.283,1.1133,1387.382,207.5624,228.6954,1.4671,1.6165,1
2,558,9,4.73,0,2223.9642,23.2499,1.2829,1.1133,1387.3624,207.5623,228.6956,1.4672,1.6165,1
2,559,9,4.73,0,2224.1646,23.2506,1.2829,1.1133,1387.3429,207.5621,228.6959,1.4672,1.6166,1
2,560,9,4.73,0,2224.3646,23.2513,1.2829,1.1133,1387.3235,207.562,228.6962,1.4672,1.6166,1
2,561,9,4.73,0,2224.5644,23.2521,1.2829,1.1133,1387.3042,207.5618,228.6965,1.4672,1.6166,1
2,562,9,4.73,0,2224.7638,23.2528,1.2829,1.1133,1387.285,207.5617,228.6968,1.4672,1.6166,1
2,563,9,4.73,0,2224.9629,23.2535,1.2829,1.1133,1387.2659,207.5615,228.697,1.4673,1.6167,1
2,564,9,4.73,0,2225.1616,23.2543,1.2829,1.1133,1387.2469,207.5614,228.6973,1.4673,1.6167,1
2,565,9,4.73,0,2225.3601,23.255,1.2829,1.1133,1387.228,207.5612,228.6976,1.4673,1.6167,1
2,566,9,4.73,0,2225.5582,23.2557,1.2829,1.1133,1387.2093,207.561,228.6979,1.4673,1.6167,1
2,567,9,4.73,0,2225.756,23.2565,1.2829,1.1133,1387.1906,207.5609,228.6981,1.4673,1.6168,1
2,568,9,4.73,0,2225.9535,23.2572,1.2829,1.1133,1387.1616,207.5605,228.6982,1.4674,1.6168,1
2,569,9,4.73,0,2226.1507,23.2579,1.2829,1.1133,1387.1601,207.5607,228.6988,1.4674,1.6168,1
2,570,9,4.73,0,2226.3475,23.2586,1.2828,1.1133,1387.1352,207.5604,228.699,1.4674,1.6168,1
2,571,9,4.73,0,2226.544,23.2594,1.2828,1.1133,1387.117,207.5603,228.6992,1.4674,1.6169,1
2,572,9,4.73,0,2226.7403,23.2601,1.2828,1.1133,1387.0988,207.5601,228.6995,1.4674,1.6169,1
2,573,9,4.73,0,2226.9362,23.2608,1.2828,1.1133,1387.0808,207.56,228.6998,1.4674,1.6169,1
2,574,9,4.73,0,2227.068,23.2614,1.2828,1.1134,1387.0628,207.5598,228.7001,1.4675,1.6169,1
